event,eco_mean,eco_median,eco_5,eco_95,fatality_mean,fatality_median,fatality_5,fatality_95
Italy_29-5-2012_2,6594.38975,6548.605,5107.755,8061.208999999999,138.84314149999992,135.94099999999997,96.33352000000001,189.29795
Romania_31-5-1990_2,42.868942,37.71085,24.71628,75.75634999999998,1.2554264800000008,0.77146,0.33353710000000003,3.972942499999994
Turkey_12-11-1999,1657.198025,1407.41,631.6883,3670.260499999998,1022.2644499999992,875.8745000000001,219.10905,2403.1019999999994
Italy_18-1-2017,91.398314,85.94175,55.14514,150.74449999999996,1.3019386199999994,0.964679,0.41218045,3.2121329999999975
Albania_26-11-2019,434.142115,385.328,197.4987,791.3115999999999,70.50032500000006,54.1228,23.941029999999998,153.44914999999992
Germany_13-4-1992,3874.7948,3508.235,2287.062,6686.452,24.475895800000018,18.5701,8.470394500000001,62.23786499999994
Greece_16-10-1988,484.40421,416.765,171.519,1078.4424999999992,12.249886049999997,10.9138,2.9014085000000005,29.69431999999998
Turkey_23-10-2011,1673.73044,1535.65,675.0939,3146.3619999999996,1087.0228050000003,830.3119999999999,230.09040000000002,2644.4274999999984
Romania_30-5-1990_1,14493.3105,14274.25,12927.015,16619.57,2009.78755,1930.1149999999998,1412.3129999999999,2809.6820000000002
Greece_30-10-2020,1010.32981,1044.515,435.76015,1554.681,24.682880249999993,24.023650000000004,6.094946,47.90465999999995
Italy_31-10-2002_1,161.549956,149.8115,106.01835,248.55504999999977,3.529277060000001,2.7144649999999997,1.3854644999999999,8.68346699999999
Croatia_22-3-2020,1369.0233705,595.216,117.94615,5134.073999999986,91.82494327999997,16.46385,2.035983,364.82814999999874
Italy_24-8-2016,999.02944,966.2535,766.011,1308.6635,17.296248199999987,16.4089,10.364915,27.103804999999998
Greece_12-6-2017,363.404419,242.5705,58.427945,1092.6085,8.433000294000001,3.06539,0.25866665000000005,36.81775999999999
Croatia_29-12-2020,2276.475995,1800.955,974.10705,5376.659999999999,183.60107499999992,146.36149999999998,57.717645000000005,404.37594999999965
Greece_07-9-1999,19054.222,18224.95,14213.305,26208.46499999999,914.9397749999998,862.9725000000001,594.14035,1426.7729999999995
Italy_30-10-2016_2,2442.0943,2359.29,1851.84,3216.957,45.58571149999998,43.18415,29.95363,64.33498499999999
Greece_03-2-2014_2,154.86132115,70.81255,8.5686025,521.0094999999984,1.8021787123499988,0.5234985000000001,0.03511826999999999,7.266553
Iceland_29-5-2008,223.0963155,200.9465,93.675385,457.18674999999973,1.5724151549999998,1.281085,0.31905015000000003,3.5449014999999977
Turkey_27-6-1998,3604.945693,2545.215,285.776,10276.969999999998,2008.4003507999996,1158.755,49.08109,6410.408999999996
Turkey_30-10-2020,10512.696355,9904.19,767.92905,21684.709999999995,4825.467513950001,3838.67,66.60638,11411.329999999998
Turkey_01-10-1995,43.957536295000004,26.1583,3.3463935000000005,143.13629999999984,7.150601726795003,0.7334890000000001,0.008976550000000002,24.7183
Iceland_17-6-2000,14.44009375,12.9521,7.014976,26.876035,0.1255755337499999,0.09366245000000001,0.017207985000000002,0.3241206999999996
Iceland_20-6-2000,18.9527681,15.11425,7.206751,41.666829999999976,0.12180775275000003,0.06450064999999999,0.016647240000000004,0.41718079999999985
Italy_14-10-1997_3,137.3818325,120.279,71.10794,248.9593499999998,1.4968700550000003,1.071875,0.44422585000000003,3.3145119999999975
